original_label,occlusion,n_images,n_image_features,mean_comprehensiveness,mean_sufficiency,mean_effect_over_control,effect_ci_low,effect_ci_high,wilcoxon_p,cited_flip_rate,faithful_rate_over_p95_control,inferentially_eligible,wilcoxon_p_bh
HP,black,121,319,-0.12698906807860066,-0.13237670252802616,0.03307379711428438,0.025668238263336918,0.040805598816368145,7.33387960738945e-14,0.005509641873278236,0.303030303030303,True,1.1000819411084176e-13
HP,blur,121,319,-0.11413690607902433,-0.12779112164310844,0.025497289677739385,0.016692900280636153,0.0342869470581479,1.8320481047186345e-08,0.01515151515151515,0.2809917355371901,True,1.8320481047186345e-08
HP,mean,121,319,-0.12171289661370689,-0.20678342267173053,0.03420852500973003,0.02621635879046026,0.04232305879543993,4.2808940685837883e-13,0.0,0.3319559228650138,True,5.137072882300546e-13
SSA,black,856,2179,0.2364448165982335,0.4699285815236364,-0.0685676563340867,-0.07338883300961435,-0.06380514440138478,4.00865440893679e-99,0.35903426791277254,0.04049844236760124,True,2.405192645362074e-98
SSA,blur,856,2179,0.19144475257830731,0.43809311562856057,-0.04699348125158647,-0.05181996844859128,-0.04211300850126789,2.0362148083166276e-61,0.2758956386292835,0.09501557632398754,True,4.072429616633255e-61
SSA,mean,856,2179,0.21907698193048575,0.5916632629210721,-0.06637789930994481,-0.07126771180060042,-0.061453484235678216,1.5358751144038385e-94,0.32379283489096566,0.060942367601246106,True,4.6076253432115156e-94
