agreement_band,occlusion,n_images,n_image_features,mean_comprehensiveness,mean_sufficiency,mean_effect_over_control,effect_ci_low,effect_ci_high,wilcoxon_p,cited_flip_rate,faithful_rate_over_p95_control,inferentially_eligible,wilcoxon_p_bh
borderline,black,164,428,0.21501871508856613,0.45659146880412976,-0.06438265785212256,-0.07579750750972751,-0.05296640396415463,3.664245770301248e-19,0.27134146341463417,0.048780487804878044,True,5.496368655451872e-19
borderline,blur,164,428,0.17575744799966733,0.4237525822382753,-0.04131101768160096,-0.05151778979809967,-0.031040704837414806,1.4310043223614368e-11,0.20325203252032523,0.09857723577235773,True,1.431004322361437e-11
borderline,mean,164,428,0.2009378541866696,0.5701829192751064,-0.05930064875339983,-0.07099661411321834,-0.047470427227886254,3.8839282150524755e-16,0.2530487804878049,0.07215447154471544,True,4.993621990781754e-16
strong,black,490,1245,0.18759728344980955,0.385240497659309,-0.05699191554580144,-0.06375278129079755,-0.050272299344717435,1.7864918484550265e-42,0.3227891156462585,0.07108843537414965,True,1.6078426636095238e-41
strong,blur,490,1245,0.1515777311256143,0.363356449133178,-0.03716469924615992,-0.043631312101345555,-0.030720565670358732,8.519091905103615e-24,0.2530612244897959,0.12040816326530612,True,1.9167956786483133e-23
strong,mean,490,1245,0.17462426433656492,0.4842796678971626,-0.054553192375672015,-0.061290671076400224,-0.04792092373146028,2.8950907137436164e-40,0.29081632653061223,0.08163265306122447,True,1.3027908211846274e-39
unanimous,black,323,825,0.18527971394936735,0.3795431580229194,-0.05017705840854178,-0.05857358036948375,-0.04169354213383922,3.023851157967945e-24,0.326109391124871,0.08823529411764706,True,9.071553473903834e-24
unanimous,blur,323,825,0.14541434318257804,0.3467643891544811,-0.03763324572740136,-0.04606732258895901,-0.029281108110472687,7.72383568587613e-16,0.24974200206398345,0.12435500515995872,True,8.689315146610646e-16
unanimous,mean,323,825,0.16805863291240453,0.46636508633570034,-0.050228729484515705,-0.05926071292529511,-0.04122614663538333,1.0621845127653758e-22,0.28844169246646023,0.12538699690402477,True,1.9119321229776763e-22
