occlusion,n_images,n_image_features,mean_comprehensiveness,mean_sufficiency,mean_effect_over_control,effect_ci_low,effect_ci_high,wilcoxon_p,cited_flip_rate,faithful_rate_over_p95_control,inferentially_eligible,wilcoxon_p_bh
black,977,2498,0.19143406936599508,0.39533396599625553,-0.05597951317415537,-0.060787331413819354,-0.05118803405162059,5.827646155828991e-82,0.31525076765609006,0.07301262367792562,True,1.7482938467486974e-81
blur,977,2498,0.15359891767806463,0.36800919269112775,-0.038015606858087574,-0.042656670823904216,-0.03343359308780065,7.615142613485283e-48,0.2436028659160696,0.11804844762879564,True,7.615142613485283e-48
mean,977,2498,0.17687066125101053,0.4927768259131611,-0.053920419941796756,-0.05882571125489203,-0.049031417995995814,9.152056501200663e-76,0.2836915728420334,0.09450699419993176,True,1.3728084751800995e-75
