image,occlusion,cited_drop,control_drop,n_features,dataset,effect_over_control
MHIST_aad.png,black,0.164895753065745,0.25557961447371375,3,MHIST,-0.09068386140796875
MHIST_aad.png,blur,0.12038842837015784,0.2179742043217023,3,MHIST,-0.09758577595154447
MHIST_aad.png,mean,0.14061703284581498,0.26139867520994603,3,MHIST,-0.12078164236413105
MHIST_aag.png,black,0.1304594874382019,0.40125019848346705,2,MHIST,-0.27079071104526514
MHIST_aag.png,blur,0.11478286981582635,0.23802731484174727,2,MHIST,-0.12324444502592093
MHIST_aag.png,mean,0.09159463644027704,0.31286564469337463,2,MHIST,-0.2212710082530976
MHIST_aah.png,black,0.1724432110786438,0.3260236332813899,2,MHIST,-0.1535804222027461
MHIST_aah.png,blur,0.0569448471069335,0.2339185244507259,2,MHIST,-0.17697367734379238
MHIST_aah.png,mean,0.1120203137397766,0.3672575619485643,2,MHIST,-0.2552372482087877
MHIST_aaq.png,black,0.2992742508649826,0.36934923902153965,2,MHIST,-0.07007498815655705
MHIST_aaq.png,blur,0.16225990653038025,0.2913808494806289,2,MHIST,-0.12912094295024867
MHIST_aaq.png,mean,0.20673462748527524,0.3318888783454894,2,MHIST,-0.12515425086021417
MHIST_aar.png,black,0.20181492964426673,0.26892396261294677,3,MHIST,-0.06710903296868004
MHIST_aar.png,blur,0.17801853020985922,0.2371819168329238,3,MHIST,-0.059163386623064584
MHIST_aar.png,mean,0.18272254864374793,0.2842427293459574,3,MHIST,-0.10152018070220947
MHIST_aay.png,black,0.21582256754239393,0.4082219292720159,3,MHIST,-0.19239936172962196
MHIST_aay.png,blur,0.2049382925033569,0.41165350427230196,3,MHIST,-0.20671521176894506
MHIST_aay.png,mean,0.17246907949447632,0.411794202029705,3,MHIST,-0.2393251225352287
MHIST_aaz.png,black,0.29422714312871295,0.3935649702946345,3,MHIST,-0.09933782716592154
MHIST_aaz.png,blur,0.17777131001154578,0.18596267054478322,3,MHIST,-0.008191360533237435
MHIST_aaz.png,mean,0.25380372007687885,0.27921376824378963,3,MHIST,-0.02541004816691078
MHIST_abb.png,black,0.2279004057248433,0.3232131501941969,3,MHIST,-0.09531274446935359
MHIST_abb.png,blur,0.2079905271530151,0.2550988980766498,3,MHIST,-0.04710837092363471
MHIST_abb.png,mean,0.23231639464696244,0.3114044800400733,3,MHIST,-0.07908808539311088
MHIST_abe.png,black,0.16180749734242753,0.2444916273156802,3,MHIST,-0.08268412997325267
MHIST_abe.png,blur,0.12416547536849971,0.18156655927499132,3,MHIST,-0.05740108390649161
MHIST_abe.png,mean,0.08148525158564243,0.18661569952964782,3,MHIST,-0.10513044794400539
MHIST_abs.png,black,0.17143031954765314,0.30733840316534045,2,MHIST,-0.1359080836176873
MHIST_abs.png,blur,0.23942914605140686,0.29796441793441775,2,MHIST,-0.058535271883010886
MHIST_abs.png,mean,0.21988424658775324,0.3247490175068378,2,MHIST,-0.10486477091908458
MHIST_abx.png,black,-0.03182186683018997,-0.04283843139807377,3,MHIST,0.011016564567883802
MHIST_abx.png,blur,-0.0350550611813863,-0.021769767006238266,3,MHIST,-0.013285294175148035
MHIST_abx.png,mean,-0.04710801442464186,-0.037940157453219034,3,MHIST,-0.009167856971422826
MHIST_acb.png,black,0.2791200131177902,0.39857017658650873,2,MHIST,-0.1194501634687185
MHIST_acb.png,blur,0.24123159050941467,0.2591580733656883,2,MHIST,-0.01792648285627363
MHIST_acb.png,mean,0.2462290078401565,0.3285918332636356,2,MHIST,-0.08236282542347911
MHIST_acg.png,black,0.1915433009465535,0.3173768902818362,3,MHIST,-0.1258335893352827
MHIST_acg.png,blur,0.12218874692916866,0.13708992054065067,3,MHIST,-0.014901173611482008
MHIST_acg.png,mean,0.11257320642471307,0.16643356879552199,3,MHIST,-0.05386036237080892
MHIST_aco.png,black,0.2791786938905716,0.3431776691228151,2,MHIST,-0.06399897523224352
MHIST_aco.png,blur,0.255730539560318,0.2970918647944927,2,MHIST,-0.041361325234174684
MHIST_aco.png,mean,0.30135926604270935,0.32982504442334176,2,MHIST,-0.02846577838063241
MHIST_acq.png,black,0.14907179276148474,0.3069772943854332,3,MHIST,-0.15790550162394845
MHIST_acq.png,blur,0.050797720750172894,0.22533958206574115,3,MHIST,-0.17454186131556826
MHIST_acq.png,mean,0.0799090464909871,0.29763943602641424,3,MHIST,-0.21773038953542714
MHIST_acw.png,black,0.19238649308681485,0.3345543285210927,2,MHIST,-0.14216783543427783
MHIST_acw.png,blur,0.20187990367412564,0.36250891834497445,2,MHIST,-0.1606290146708488
MHIST_acw.png,mean,0.18751928210258478,0.42101103762785586,2,MHIST,-0.23349175552527107
MHIST_acy.png,black,-0.14297533035278312,-0.21436283489068345,3,MHIST,0.07138750453790033
MHIST_acy.png,blur,-0.05505265792210897,-0.19854681094487503,3,MHIST,0.14349415302276605
MHIST_acy.png,mean,-0.054567396640777595,-0.20057432452837623,3,MHIST,0.14600692788759864
MHIST_adc.png,black,0.17241750160853067,0.277502259115378,3,MHIST,-0.10508475750684734
MHIST_adc.png,blur,0.20033949613571164,0.24171121567487716,3,MHIST,-0.04137171953916552
MHIST_adc.png,mean,0.22126843531926474,0.3237007727225621,3,MHIST,-0.10243233740329735
MHIST_add.png,black,0.2705940008163452,0.4044039981232748,3,MHIST,-0.1338099973069296
MHIST_add.png,blur,0.2948670784632365,0.31634131073951716,3,MHIST,-0.021474232276280647
MHIST_add.png,mean,0.3037633498509725,0.36165349715285827,3,MHIST,-0.0578901473018858
MHIST_adj.png,black,0.1517860144376754,0.35133612267673014,2,MHIST,-0.19955010823905475
MHIST_adj.png,blur,0.17942166328430173,0.2896456845104694,2,MHIST,-0.11022402122616767
MHIST_adj.png,mean,0.24345263838768005,0.3875486213713884,2,MHIST,-0.14409598298370835
MHIST_ado.png,black,0.21035367250442505,0.266891960799694,3,MHIST,-0.05653828829526897
MHIST_ado.png,blur,0.204336941242218,0.22633473724126815,3,MHIST,-0.021997795999050163
MHIST_ado.png,mean,0.20160712798436478,0.24985021849473313,3,MHIST,-0.04824309051036835
