dataset,occlusion,n_images,mean_cited_drop,mean_control_drop,mean_effect_over_control,effect_ci_low,effect_ci_high,wilcoxon_p
MHIST,black,977,0.19143406936599508,0.24741358254015045,-0.05597951317415537,-0.06075899236588123,-0.05120886692435027,5.827646155828991e-82
MHIST,blur,977,0.1535989176780646,0.1916145245361522,-0.038015606858087574,-0.04260997519288268,-0.03344549218140372,7.615142613485283e-48
MHIST,mean,977,0.17687066125101053,0.23079108119280725,-0.05392041994179675,-0.05883165793220262,-0.04906052829582865,9.15205650120066e-76
PatchCamelyon,black,20,0.05615244805812836,0.06138459146022797,-0.0052321434020996095,-0.01740585617721081,0.0062941748276352915,0.38837623596191406
PatchCamelyon,blur,20,0.0665957897901535,0.07269953489303589,-0.006103745102882386,-0.021154769919812678,0.01108569342643023,0.16495704650878906
PatchCamelyon,mean,20,0.06300789415836335,0.06307370066642762,-6.580650806427002e-05,-0.012500090189278126,0.014279659837484361,0.47490501403808594
