model_group,axis,n_items,exact_agreement,cohen_kappa
GPT-4o,presence,29,0.41379310344827586,-0.0020325203252032267
GPT-4o,relevance,29,0.4827586206896552,0.06047516198704099
GPT-4o,support,29,0.5172413793103449,0.11930585683297183
Gemma,presence,71,0.43661971830985913,0.0
Gemma,relevance,71,0.7183098591549296,0.2466843501326261
Gemma,support,71,0.6056338028169014,0.2216131558339859
